date,cnt
2018-06-01,122
2018-06-02,111
2018-06-03,125
2018-06-04,127
2018-06-05,132
2018-06-06,125
2018-06-07,130
2018-06-08,136
2018-06-09,125
2018-06-10,113
2018-06-11,114
2018-06-12,149
2018-06-13,169
2018-06-14,137
2018-06-15,149
2018-06-16,145
2018-06-17,142
2018-06-18,123
2018-06-19,146
2018-06-20,150
2018-06-21,158
2018-06-22,158
2018-06-23,130
2018-06-24,118
2018-06-25,133
2018-06-26,36
2018-06-27,135
2018-06-28,91
2018-06-29,109
2018-06-30,85
2018-07-01,18
2018-07-02,16
2018-07-03,129
2018-07-04,131
2018-07-05,122
2018-07-06,146
2018-07-07,110
2018-07-08,147
2018-07-09,28
2018-07-10,78
2018-07-11,113
2018-07-12,117
2018-07-13,137
2018-07-14,119
2018-07-15,115
2018-07-16,130
2018-07-17,125
2018-07-18,132
2018-07-19,118
2018-07-20,112
2018-07-21,100
2018-07-22,88
2018-07-23,92
2018-07-24,91
2018-07-25,105
2018-07-26,89
2018-07-27,78
2018-07-28,71
2018-07-29,65
2018-07-30,107
2018-07-31,97
2018-08-01,81
2018-08-02,68
2018-08-03,76
2018-08-04,75
2018-08-05,82
2018-08-06,78
2018-08-07,107
2018-08-08,98
2018-08-09,70
2018-08-10,98
2018-08-11,80
2018-08-12,78
2018-08-13,102
2018-08-14,113
2018-08-15,65
2018-08-16,85
2018-08-17,123
2018-08-18,97
2018-08-19,72
2018-08-20,123
2018-08-21,107
2018-08-22,120
2018-08-23,65
2018-08-24,42
2018-08-25,102
2018-08-26,67
2018-08-27,80
2018-08-28,23
2018-08-29,28
2018-08-30,86
2018-08-31,123
2018-09-01,103
2018-09-02,116
2018-09-03,61
2018-09-04,138
2018-09-05,128
2018-09-06,117
2018-09-07,154
2018-09-08,110
2018-09-09,111
2018-09-10,149
2018-09-11,162
2018-09-12,142
2018-09-13,144
2018-09-14,137
2018-09-15,104
2018-09-16,69
2018-09-17,161
2018-09-20,64
2018-09-21,100
2018-09-22,99
2018-09-23,67
2018-09-24,38
2018-09-25,64
2018-09-26,118
2018-09-27,147
2018-09-29,144
2018-10-01,142
2018-10-03,128
2018-10-05,12
2018-10-06,63
2018-10-07,122
2018-10-08,132
2018-10-10,104
2018-10-11,105
2018-10-12,119
2018-10-13,92
2018-10-14,87
2018-10-15,112
2018-10-16,114
2018-10-17,128
2018-10-18,131
2018-10-19,124
2018-10-20,86
2018-10-21,88
2018-10-22,116
2018-10-23,100
2018-10-24,123
2018-10-25,119
2018-10-26,53
2018-10-27,61
2018-10-28,38
2018-10-29,87
2018-10-30,84
2018-10-31,101
2018-11-01,94
2018-11-02,92
2018-11-04,101
2018-11-05,113
2018-11-07,80
2018-11-08,4
2018-11-10,64
2018-11-11,50
2018-11-12,93
2018-11-13,97
2018-11-14,80
2018-11-15,86
2018-11-16,88
2018-11-17,50
2018-11-18,60
2018-11-19,75
2018-11-20,84
2018-11-21,65
2018-11-22,80
2018-11-23,65
2018-11-24,18
2018-11-25,46
2018-11-26,80
2018-11-27,54
2018-11-28,72
2018-11-29,71
2018-11-30,65
2018-12-01,95
2018-12-02,93
2018-12-03,44
2018-12-04,111
2018-12-05,95
2018-12-06,107
2018-12-07,68
2018-12-08,33
2018-12-09,36
2018-12-10,84
2018-12-11,78
2018-12-12,79
2018-12-13,48
2018-12-14,61
2018-12-15,37
2018-12-16,37
2018-12-17,70
2018-12-18,98
2018-12-19,98
2018-12-20,103
2018-12-21,102
2018-12-22,54
2018-12-23,48
2018-12-24,54
2018-12-25,39
2018-12-26,64
2018-12-27,47
2018-12-28,42
2018-12-29,23
2018-12-30,31
2018-12-31,48
2019-01-01,15
2019-01-02,29
2019-01-03,30
2019-01-04,30
2019-01-05,28
2019-01-06,21
2019-01-07,36
2019-01-08,34
2019-01-09,35
2019-01-10,42
2019-01-11,47
2019-01-12,23
2019-01-13,21
2019-01-14,37
2019-01-15,30
2019-01-16,34
2019-01-17,37
2019-01-18,40
2019-01-19,21
2019-01-20,21
2019-01-21,37
2019-01-22,40
2019-01-23,44
2019-01-24,46
2019-01-25,40
2019-01-26,30
2019-01-27,16
2019-01-28,39
2019-01-29,49
2019-01-30,46
2019-01-31,36
2019-02-01,25
2019-02-02,17
2019-02-03,3
2019-02-04,10
2019-02-05,12
2019-02-06,14
2019-02-07,28
2019-02-08,25
2019-02-09,28
2019-02-10,22
2019-02-11,32
2019-02-12,31
2019-02-13,40
2019-02-14,39
2019-02-15,25
2019-02-16,30
2019-02-17,20
2019-02-18,40
2019-02-19,26
2019-02-20,38
2019-02-21,36
2019-02-22,40
2019-02-23,37
2019-02-24,32
2019-02-25,37
2019-02-26,38
2019-02-27,68
2019-02-28,42
2019-03-01,43
2019-03-02,39
2019-03-03,32
2019-03-04,60
2019-03-05,45
2019-03-06,52
2019-03-07,63
2019-03-08,45
2019-03-09,49
2019-03-10,56
2019-03-11,71
2019-03-12,43
2019-03-13,59
2019-03-14,66
2019-03-15,34
2019-03-16,43
2019-03-17,47
2019-03-18,64
2019-03-19,68
2019-03-20,22
2019-03-21,66
2019-03-22,58
2019-03-23,44
2019-03-24,41
2019-03-25,59
2019-03-26,144
2019-03-27,119
2019-03-28,141
2019-03-29,124
2019-03-30,40
2019-03-31,73
2019-04-01,133
