"","date","cnt"
"1","2017-06-21",13
"2","2017-06-22",40
"3","2017-06-23",39
"4","2017-06-24",28
"5","2017-06-25",28
"6","2017-06-26",22
"7","2017-06-27",38
"8","2017-06-28",40
"9","2017-06-29",50
"10","2017-06-30",46
"11","2017-07-01",39
"12","2017-07-02",15
"13","2017-07-03",25
"14","2017-07-04",45
"15","2017-07-05",15
"16","2017-07-07",3
"17","2017-07-08",31
"18","2017-07-09",20
"19","2017-07-10",4
"20","2017-07-11",43
"21","2017-07-12",54
"22","2017-07-13",47
"23","2017-07-14",58
"24","2017-07-15",23
"25","2017-07-16",38
"26","2017-07-17",54
"27","2017-07-18",42
"28","2017-07-19",53
"29","2017-07-20",55
"30","2017-07-21",49
"31","2017-07-22",32
"32","2017-07-23",30
"33","2017-07-24",57
"34","2017-07-25",55
"35","2017-07-26",62
"36","2017-07-27",58
"37","2017-07-28",39
"38","2017-07-29",61
"39","2017-07-30",52
"40","2017-07-31",48
"41","2017-08-01",63
"42","2017-08-02",50
"43","2017-08-03",56
"44","2017-08-04",50
"45","2017-08-05",41
"46","2017-08-06",34
"47","2017-08-07",55
"48","2017-08-08",81
"49","2017-08-09",70
"50","2017-08-10",14
"51","2017-08-11",46
"52","2017-08-12",66
"53","2017-08-13",67
"54","2017-08-14",43
"55","2017-08-15",11
"56","2017-08-16",43
"57","2017-08-17",49
"58","2017-08-18",63
"59","2017-08-19",67
"60","2017-08-20",4
"61","2017-08-21",54
"62","2017-08-22",59
"63","2017-08-23",27
"64","2017-08-24",46
"65","2017-08-25",72
"66","2017-08-26",84
"67","2017-08-27",80
"68","2017-08-28",41
"69","2017-08-29",78
"70","2017-08-30",74
"71","2017-08-31",104
"72","2017-09-01",82
"73","2017-09-02",78
"74","2017-09-03",32
"75","2017-09-04",69
"76","2017-09-05",112
"77","2017-09-06",66
"78","2017-09-07",89
"79","2017-09-08",101
"80","2017-09-09",112
"81","2017-09-10",92
"82","2017-09-11",86
"83","2017-09-12",78
"84","2017-09-13",115
"85","2017-09-14",105
"86","2017-09-15",105
"87","2017-09-16",111
"88","2017-09-17",118
"89","2017-09-18",107
"90","2017-09-19",86
"91","2017-09-20",116
"92","2017-09-21",114
"93","2017-09-22",109
"94","2017-09-23",119
"95","2017-09-24",154
"96","2017-09-25",26
"97","2017-09-26",42
"98","2017-09-27",111
"99","2017-09-28",134
"100","2017-09-29",140
"101","2017-09-30",111
"102","2017-10-01",44
"103","2017-10-02",81
"104","2017-10-03",54
"105","2017-10-04",39
"106","2017-10-05",65
"107","2017-10-06",77
"108","2017-10-07",85
"109","2017-10-08",109
"110","2017-10-09",146
"111","2017-10-10",120
"112","2017-10-11",98
"113","2017-10-12",116
"114","2017-10-13",98
"115","2017-10-14",107
"116","2017-10-15",128
"117","2017-10-16",135
"118","2017-10-17",146
"119","2017-10-18",87
"120","2017-10-19",126
"121","2017-10-20",125
"122","2017-10-21",123
"123","2017-10-22",124
"124","2017-10-23",125
"125","2017-10-24",103
