date,cnt,year,month,day,weekday,weeknum,is_holiday
2018-01-01,9,2018,01,01,0,1,1.0
2018-01-02,22,2018,01,02,1,1,0.0
2018-01-03,23,2018,01,03,2,1,0.0
2018-01-04,11,2018,01,04,3,1,0.0
2018-01-05,21,2018,01,05,4,1,0.0
2018-01-06,20,2018,01,06,5,1,0.0
2018-01-07,20,2018,01,07,6,1,0.0
2018-01-08,23,2018,01,08,0,2,0.0
2018-01-09,14,2018,01,09,1,2,0.0
2018-01-10,20,2018,01,10,2,2,0.0
2018-01-11,15,2018,01,11,3,2,0.0
2018-01-12,16,2018,01,12,4,2,0.0
2018-01-13,15,2018,01,13,5,2,0.0
2018-01-14,12,2018,01,14,6,2,0.0
2018-01-15,31,2018,01,15,0,3,0.0
2018-01-16,24,2018,01,16,1,3,0.0
2018-01-17,14,2018,01,17,2,3,0.0
2018-01-18,21,2018,01,18,3,3,0.0
2018-01-19,23,2018,01,19,4,3,0.0
2018-01-20,18,2018,01,20,5,3,0.0
2018-01-21,25,2018,01,21,6,3,0.0
2018-01-22,13,2018,01,22,0,4,0.0
2018-01-23,18,2018,01,23,1,4,0.0
2018-01-24,13,2018,01,24,2,4,0.0
2018-01-25,12,2018,01,25,3,4,0.0
2018-01-26,13,2018,01,26,4,4,0.0
2018-01-27,9,2018,01,27,5,4,0.0
2018-01-28,12,2018,01,28,6,4,0.0
2018-01-29,15,2018,01,29,0,5,0.0
2018-01-30,10,2018,01,30,1,5,0.0
2018-01-31,15,2018,01,31,2,5,0.0
2018-02-01,19,2018,02,01,3,5,0.0
2018-02-02,27,2018,02,02,4,5,0.0
2018-02-03,11,2018,02,03,5,5,0.0
2018-02-04,10,2018,02,04,6,5,0.0
2018-02-05,14,2018,02,05,0,6,0.0
2018-02-06,11,2018,02,06,1,6,0.0
2018-02-07,12,2018,02,07,2,6,0.0
2018-02-08,19,2018,02,08,3,6,0.0
2018-02-09,17,2018,02,09,4,6,0.0
2018-02-10,7,2018,02,10,5,6,0.0
2018-02-11,11,2018,02,11,6,6,0.0
2018-02-12,16,2018,02,12,0,7,0.0
2018-02-13,20,2018,02,13,1,7,0.0
2018-02-14,14,2018,02,14,2,7,0.0
