"","date","cnt","is_holiday","year","month","day","weekday","weeknum"
"1","2017-06-21",13,0,2017,6,21,2,25
"2","2017-06-22",40,0,2017,6,22,3,25
"3","2017-06-23",39,0,2017,6,23,4,25
"4","2017-06-24",28,0,2017,6,24,5,25
"5","2017-06-25",28,0,2017,6,25,6,25
"6","2017-06-26",22,0,2017,6,26,0,26
"7","2017-06-27",38,0,2017,6,27,1,26
"8","2017-06-28",40,0,2017,6,28,2,26
"9","2017-06-29",50,0,2017,6,29,3,26
"10","2017-06-30",46,0,2017,6,30,4,26
"11","2017-07-01",39,0,2017,7,1,5,26
"12","2017-07-02",15,0,2017,7,2,6,26
"13","2017-07-03",25,0,2017,7,3,0,27
"14","2017-07-04",45,0,2017,7,4,1,27
"15","2017-07-05",15,0,2017,7,5,2,27
"16","2017-07-07",3,0,2017,7,7,4,27
"17","2017-07-08",31,0,2017,7,8,5,27
"18","2017-07-09",20,0,2017,7,9,6,27
"19","2017-07-10",4,0,2017,7,10,0,28
"20","2017-07-11",43,0,2017,7,11,1,28
"21","2017-07-12",54,0,2017,7,12,2,28
"22","2017-07-13",47,0,2017,7,13,3,28
"23","2017-07-14",58,0,2017,7,14,4,28
"24","2017-07-15",23,0,2017,7,15,5,28
"25","2017-07-16",38,0,2017,7,16,6,28
"26","2017-07-17",54,0,2017,7,17,0,29
"27","2017-07-18",42,0,2017,7,18,1,29
"28","2017-07-19",53,0,2017,7,19,2,29
"29","2017-07-20",55,0,2017,7,20,3,29
"30","2017-07-21",49,0,2017,7,21,4,29
"31","2017-07-22",32,0,2017,7,22,5,29
"32","2017-07-23",30,0,2017,7,23,6,29
"33","2017-07-24",57,0,2017,7,24,0,30
"34","2017-07-25",55,0,2017,7,25,1,30
"35","2017-07-26",62,0,2017,7,26,2,30
"36","2017-07-27",58,0,2017,7,27,3,30
"37","2017-07-28",39,0,2017,7,28,4,30
"38","2017-07-29",61,0,2017,7,29,5,30
"39","2017-07-30",52,0,2017,7,30,6,30
"40","2017-07-31",48,0,2017,7,31,0,31
"41","2017-08-01",63,0,2017,8,1,1,31
"42","2017-08-02",50,0,2017,8,2,2,31
"43","2017-08-03",56,0,2017,8,3,3,31
"44","2017-08-04",50,0,2017,8,4,4,31
"45","2017-08-05",41,0,2017,8,5,5,31
"46","2017-08-06",34,0,2017,8,6,6,31
"47","2017-08-07",55,0,2017,8,7,0,32
"48","2017-08-08",81,0,2017,8,8,1,32
"49","2017-08-09",70,0,2017,8,9,2,32
"50","2017-08-10",14,0,2017,8,10,3,32
"51","2017-08-11",46,0,2017,8,11,4,32
"52","2017-08-12",66,0,2017,8,12,5,32
"53","2017-08-13",67,0,2017,8,13,6,32
"54","2017-08-14",43,0,2017,8,14,0,33
