date,cnt_station,cnt_bike
2017-01-01,432,5794 
2017-01-02,432,5794 
2017-01-03,432,5794 
2017-01-04,432,5794 
2017-01-05,432,5794 
2017-01-06,432,5794 
2017-01-07,432,5794 
2017-01-08,432,5794 
2017-01-09,432,5794 
2017-01-10,432,5794 
2017-01-11,432,5794 
2017-01-12,432,5794 
2017-01-13,432,5794 
2017-01-14,432,5794 
2017-01-15,432,5794 
2017-01-16,432,5794 
2017-01-17,432,5794 
2017-01-18,432,5794 
2017-01-19,432,5794 
2017-01-20,432,5794 
2017-01-21,432,5794 
2017-01-22,432,5794 
2017-01-23,432,5794 
2017-01-24,432,5794 
2017-01-25,432,5794 
2017-01-26,432,5794 
2017-01-27,432,5794 
2017-01-28,432,5794 
2017-01-29,432,5794 
2017-01-30,432,5794 
2017-01-31,432,5794 
2017-02-01,432,5794 
2017-02-02,432,5794 
2017-02-03,432,5794 
2017-02-04,432,5794 
2017-02-05,432,5794 
2017-02-06,432,5794 
2017-02-07,432,5794 
2017-02-08,432,5794 
2017-02-09,432,5794 
2017-02-10,432,5794 
2017-02-11,432,5794 
2017-02-12,432,5794 
2017-02-13,432,5794 
2017-02-14,432,5794 
2017-02-15,432,5794 
2017-02-16,432,5794 
2017-02-17,432,5794 
2017-02-18,432,5794 
2017-02-19,432,5794 
2017-02-20,432,5794 
2017-02-21,432,5794 
2017-02-22,432,5794 
2017-02-23,432,5794 
2017-02-24,432,5794 
2017-02-25,432,5794 
2017-02-26,432,5794 
2017-02-27,432,5794 
2017-02-28,432,5794 
2017-03-01,432,5794 
2017-03-02,432,5794 
2017-03-03,432,5794 
2017-03-04,432,5794 
2017-03-05,432,5794 
2017-03-06,432,5794 
2017-03-07,432,5794 
2017-03-08,432,5794 
2017-03-09,432,5794 
2017-03-10,432,5794 
2017-03-11,432,5794 
2017-03-12,432,5794 
2017-03-13,432,5794 
2017-03-14,432,5794 
2017-03-15,432,5794 
2017-03-16,432,5794 
2017-03-17,432,5794 
2017-03-18,432,5794 
2017-03-19,432,5794 
2017-03-20,432,5794 
2017-03-21,432,5794 
2017-03-22,432,5794 
2017-03-23,432,5794 
2017-03-24,432,5794 
2017-03-25,432,5794 
2017-03-26,432,5794 
2017-03-27,432,5794 
2017-03-28,432,5794 
2017-03-29,432,5794 
2017-03-30,432,5794 
2017-03-31,432,5794 
2017-04-01,432,5794 
2017-04-02,432,5794 
2017-04-03,432,5794 
2017-04-04,432,5794 
2017-04-05,432,5794 
2017-04-06,432,5794 
2017-04-07,432,5794 
2017-04-08,432,5794 
2017-04-09,432,5794 
2017-04-10,432,5794 
2017-04-11,432,5794 
2017-04-12,432,5794 
2017-04-13,432,5794 
2017-04-14,432,5794 
2017-04-15,432,5794 
2017-04-16,432,5794 
2017-04-17,432,5794 
2017-04-18,432,5794 
2017-04-19,432,5794 
