날짜,시간,강수량,강수형태,기온,습도,하늘상태
 Start : 20190101,,,,,,
1,0,0,0,-4,48,-1
1,100,0,0,-2,42,-1
1,200,0,0,-2,48,-1
1,300,0,0,-1.6,51,-1
1,400,0,0,-1,50,-1
1,500,0,0,-0.5,47,-1
1,600,0,0,-0.9,46,-1
1,700,0,0,-1.2,48,-1
1,800,0,0,-1.6,46,-1
1,900,0,0,-2,45,-1
1,1000,-1,-1,-50,-1,-1
1,1100,0,0,-3.3,38,-1
1,1200,0,0,-3.8,39,-1
1,1300,0,0,-4.5,42,-1
1,1400,0,-1,-50,46,-1
1,1500,-1,-1,-5.2,-1,-1
1,1600,0,0,-5.4,51,-1
1,1700,0,0,-5.6,54,-1
1,1800,0,0,-6.5,54,-1
1,1900,0,0,-7,56,-1
1,2000,0,0,-7.1,56,-1
1,2100,0,0,-7.5,58,-1
1,2200,0,0,-7.5,57,-1
1,2300,0,0,-6,52,-1
2,0,0,0,-3.8,52,-1
2,100,0,0,-1.9,34,-1
2,200,0,0,-1,28,-1
2,300,0,0,-0.2,27,-1
2,400,0,0,0.3,24,-1
2,500,0,0,0.4,24,-1
2,600,-1,-1,-50,-1,-1
2,700,-1,-1,-50,-1,-1
2,800,0,0,-1.4,37,-1
2,900,0,0,-1.7,39,-1
2,1000,0,0,-2.2,41,-1
2,1100,0,0,-2.3,44,-1
2,1200,0,0,-2.7,48,-1
2,1300,0,0,-3,51,-1
2,1400,0,0,-3.4,44,-1
2,1500,0,0,-4,45,-1
2,1600,0,0,-4.3,46,-1
2,1700,0,0,-4.8,51,-1
2,1800,0,0,-5.5,50,-1
2,1900,0,0,-5.6,51,-1
2,2000,0,0,-5.6,53,-1
2,2100,0,0,-6.2,59,-1
2,2200,0,0,-6.5,57,-1
2,2300,0,0,-4.8,54,-1
3,0,0,0,-3.1,49,-1
3,100,0,0,-1,37,-1
3,200,0,0,-0.1,34,-1
3,300,0,0,1.8,28,-1
3,400,0,0,2.2,28,-1
3,500,0,0,3.1,22,-1
3,600,0,0,2.7,22,-1
3,700,0,0,2,24,-1
3,800,0,0,1.4,24,-1
3,900,0,0,0.5,25,-1
3,1000,0,0,0.1,37,-1
3,1100,0,0,-0.8,41,-1
3,1200,0,0,-1.1,37,-1
3,1300,0,0,-1.3,38,-1
3,1400,0,0,-1.9,42,-1
3,1500,0,0,-2.7,44,-1
3,1600,0,0,-3,44,-1
3,1700,0,0,-3.7,46,-1
3,1800,0,0,-4,46,-1
3,1900,0,0,-4,48,-1
3,2000,0,0,-4.3,50,-1
3,2100,0,0,-4.7,50,-1
3,2200,0,0,-4.6,52,-1
3,2300,0,0,-3.6,46,-1
4,0,0,0,-2.1,41,-1
4,100,0,0,-0.5,39,-1
4,200,0,0,0.8,38,-1
4,300,0,0,1.7,41,-1
4,400,0,0,4,37,-1
4,500,0,0,4.2,43,-1
4,600,0,0,3.3,51,-1
4,700,0,0,3.2,58,-1
4,800,0,0,3.5,63,-1
4,900,0,0,2.8,63,-1
4,1000,0,0,3,72,-1
4,1100,0,0,2.5,72,-1
4,1200,0,0,1.9,76,-1
4,1300,0,0,1.7,77,-1
4,1400,0,0,1.7,67,-1
4,1500,0,0,1,70,-1
4,1600,0,0,0.3,62,-1
4,1700,0,0,-0.6,52,-1
4,1800,0,0,-1.4,58,-1
4,1900,0,0,-1.9,57,-1
4,2000,0,0,-2.2,47,-1
4,2100,0,0,-2.5,46,-1
4,2200,0,0,-2.7,46,-1
4,2300,0,0,-1.6,44,-1
5,0,0,0,-0.8,31,-1
5,100,0,0,-0.2,34,-1
5,200,0,0,0.1,32,-1
5,300,0,0,0.4,31,-1
5,400,0,0,1.5,25,-1
5,500,0,0,1.6,22,-1
5,600,0,0,1,22,-1
5,700,0,0,0.3,24,-1
5,800,0,0,0,24,-1
5,900,0,0,-0.6,27,-1
5,1000,0,0,-0.9,27,-1
5,1100,0,0,-1.3,28,-1
5,1200,0,0,-1.9,29,-1
5,1300,0,0,-2.3,31,-1
5,1400,0,0,-2.8,31,-1
5,1500,0,0,-3.2,33,-1
5,1600,0,0,-3.4,33,-1
5,1700,0,0,-3.5,39,-1
5,1800,0,0,-4,36,-1
5,1900,0,0,-3.3,37,-1
5,2000,0,0,-3.5,38,-1
5,2100,0,0,-4.3,40,-1
5,2200,0,0,-4.1,40,-1
5,2300,0,0,-3.4,38,-1
6,0,0,0,-2,36,-1
6,100,0,0,-0.4,32,-1
6,200,0,0,0.6,32,-1
6,300,0,0,1.7,27,-1
6,400,0,0,2.1,24,-1
6,500,0,0,2.3,22,-1
6,600,0,0,1.8,23,-1
6,700,0,0,1,28,-1
6,800,0,0,0.3,27,-1
6,900,0,0,0,34,-1
6,1000,0,0,-0.4,35,-1
6,1100,0,0,-0.8,40,-1
6,1200,0,0,-1.2,44,-1
6,1300,0,0,-1.5,43,-1
6,1400,0,0,-2.1,46,-1
6,1500,0,0,-2.6,47,-1
6,1600,0,0,-2.8,47,-1
6,1700,0,0,-3.2,48,-1
6,1800,0,0,-3.8,50,-1
6,1900,0,0,-4.3,52,-1
6,2000,0,0,-4.4,54,-1
6,2100,0,0,-4.7,55,-1
6,2200,0,0,-4.1,54,-1
6,2300,0,0,-3.3,51,-1
7,0,0,0,-1.2,48,-1
7,100,0,0,0.4,42,-1
